Favorite Count , Frequency 
0,18636
1,4379
2,1375
3,690
4,358
5,250
6,149
7,135
8,94
9,89
10,61
11,38
12,52
13,40
14,43
15,23
16,27
17,22
18,20
19,20
20,21
21,11
22,10
23,8
24,7
25,13
26,5
27,11
28,13
29,17
30,6
31,10
32,10
33,9
34,5
35,3
36,3
37,4
38,4
39,9
40,4
41,2
42,5
43,2
44,3
45,3
46,2
47,3
48,6
49,10
50,3
51,1
52,1
53,2
54,3
55,3
56,5
57,3
58,4
59,4
60,1
61,2
63,1
64,2
65,1
66,3
67,1
68,1
70,2
71,1
72,2
73,2
74,1
75,4
76,3
77,1
78,3
79,4
80,1
82,1
83,3
84,4
85,1
87,2
88,3
89,1
93,1
94,2
95,3
96,1
99,2
101,1
102,1
106,1
107,1
108,1
110,2
114,1
116,3
120,1
121,1
122,1
128,1
129,1
130,1
132,2
133,1
137,1
140,1
141,2
142,1
144,1
148,1
150,2
151,1
152,1
153,1
156,1
159,1
163,1
167,1
180,1
182,2
185,1
187,1
188,1
192,1
195,1
198,2
206,1
211,2
214,1
241,1
242,2
248,1
251,1
254,1
255,1
258,1
269,1
273,1
296,1
301,1
315,1
321,1
345,1
366,1
376,1
390,1
394,1
405,1
430,1
434,1
438,2
476,1
494,1
499,1
511,1
591,1
592,1
625,1
670,1
683,1
1114,1
1603,1
